label,message,processed_message
0,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,work mon thurs sat cant leh booked liao day u free
0,Sent me de webadres for geting salary slip,sent de webadres geting salary slip
0,"Er, hello, things didnât quite go to plan â is limping slowly home followed by aa and with exhaust hanging off",er hello thing didnt quite go plan limping slowly home followed aa exhaust hanging
0,Correct. So how was work today,correct work today
0,Thanks  and ! Or bomb and date as my phone wanted to say! ,thanks bomb date phone wanted say
0,"Aldrine, rakhesh ex RTM here.pls call.urgent.",aldrine rakhesh ex rtm herepls callurgent
0,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,telling coulda real valentine wasnt u never pick nothing
0,"Probably not, still going over some stuff here",probably still going stuff
0,TaKe CaRE n gET WeLL sOOn,take care n get well soon
0,I've reached already.,ive reached already
0,I wanted to ask Ã¼ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,wanted ask wait finish lect co lect finish hour anyway
0,Lol they were mad at first but then they woke up and gave in.,lol mad first woke gave
0,Are u awake? Is there snow there?,u awake snow
0,on a Tuesday night r u 4 real,tuesday night r u real
1,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double min txt orange call mobileupd calloptoutfq
0,My phone,phone
0,"I call you later, don't have network. If urgnt, sms me.",call later dont network urgnt sm
0,At home also.,home also
0,No..but heard abt tat..,nobut heard abt tat
1,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,free msgwe billed mobile number mistake shortcode please call charge refundedthis call free bt landline
0,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,dont think need yellow card uk travel ask someone gone ltgt buck
0,Ok...,ok
0,"K, want us to come by now?",k want u come
0,Sending you greetings of joy and happiness. Do have a gr8 evening,sending greeting joy happiness gr evening
0,We're finally ready fyi,finally ready fyi
0,Right it wasnt you who phoned it was someone with a number like yours!,right wasnt phoned someone number like
0,Ill be at yours in about 3 mins but look out for me,ill min look
0,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?",u sound like manky scouse boy stevelike travelling da bus homewot u inmind recreation dis eve
0,"We're all getting worried over here, derek and taylor have already assumed the worst",getting worried derek taylor already assumed worst
0,I notice you like looking in the shit mirror youre turning into a right freak,notice like looking shit mirror youre turning right freak
0,"Sorry battery died, yeah I'm here",sorry battery died yeah im
0,"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite",awesome question cute answer someone asked boy ur life smiled amp answered fine gudnite
0,This weekend is fine (an excuse not to do too much decorating),weekend fine excuse much decorating
0,Old Orchard near univ. How about you?,old orchard near univ
0,Where are the garage keys? They aren't on the bookshelf,garage key arent bookshelf
0,"That means you got an A in epi, she.s fine. She.s here now.",mean got epi shes fine shes
0,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,congrats treat pendingi mail dayswill mail thrurespect mother homecheck mail
0,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",ahhhhjust woken uphad bad dream u thoso dont like u right didnt know anything comedy night guess im
1,Urgent! Please call 09061213237 from a landline. Â£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,urgent please call landline cash holiday await collection c sae po box mxy
0,NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?,enufcredeit tocallshall ileave uni get bus yor house
0,Have a good evening! Ttyl,good evening ttyl
1,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),babe u want dont u baby im nasty thing filthyguys fancy rude time sexy bitch go slo n hard txt xxx slomsgs
0,What you thinked about me. First time you saw me in class.,thinked first time saw class
0,:-) yeah! Lol. Luckily i didn't have a starring role like you!,yeah lol luckily didnt starring role like
0,Prabha..i'm soryda..realy..frm heart i'm sory,prabhaim sorydarealyfrm heart im sory
1,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""",chance win free bluetooth headset simply reply back adp
0,"aight we can pick some up, you open before tonight?",aight pick open tonight
0,Thats cool. Where should i cum? On you or in you? :),thats cool cum
0,Many more happy returns of the day. I wish you happy birthday.,many happy return day wish happy birthday
0,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,finish already yar keep saying mushy embarrassed ok
0,You flippin your shit yet?,flippin shit yet
0,K then 2marrow are you coming to class.,k marrow coming class
0,Now only i reached home. . . I am very tired now. . I will come tomorro,reached home tired come tomorro
0,K da:)how many page you want?,k dahow many page want
0,Hurry home. Soup is DONE!,hurry home soup done
0,I am going to sleep. I am tired of travel.,going sleep tired travel
0,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,someone smoke every time ive smoked last two week calling texting wanted smoke
0,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",swt thought nver get tired little thing lovable person cozsomtimes little thing occupy biggest part heart gud ni
0,Yes see ya not on the dot,yes see ya dot
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vaguely remember feel like lol
0,I thought slide is enough.,thought slide enough
0,"Omw back to tampa from west palm, you hear what happened?",omw back tampa west palm hear happened
0,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",hi theyre keen go kind feel shouldnt go tomo dont mind
0,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",hello yeah ive got bath need hair ill come im done yeah
0,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!",friend shes studying warwick weve planned go shopping concert tmw may canceled havnt seen age yeah get together sometime
0,Shb b ok lor... Thanx...,shb b ok lor thanx
1,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a Â£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnwh pmtmsgrcvd
0,I am not having her number sir,number sir
0,Oh that was a forwarded message. I thought you send that to me,oh forwarded message thought send
0,I keep ten rs in my shelf:) buy two egg.,keep ten r shelf buy two egg
0,"Response is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care",response one powerful weapon occupy place others heart always give response care u gud nightswt dreamstake care
0,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,gr see message r u leaving congrats dear school wat r ur plan
0,Yup... How Ã¼ noe leh...,yup noe leh
0,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,aslamalaikkuminsha allah tohar beeen muht albi mufti mahfuuzmeaning
0,Shall i start from hear.,shall start hear
0,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.,true lov n care wil nevr go unrecognized though somone often make mistake valuing definitly undrstnd start missing
0,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,e admin building might b slightly earlier ill call u im reaching
0,"Sorry, I'll call later",sorry ill call later
0,"Iâve got some salt, you can rub it in my open wounds if you like!",ive got salt rub open wound like
0,Yeah just open chat and click friend lists. Then make the list. Easy as pie,yeah open chat click friend list make list easy pie
0,Please don't text me anymore. I have nothing else to say.,please dont text anymore nothing else say
0,Just got outta class gonna go gym.,got outta class gon na go gym
0,I might go 2 sch. Yar at e salon now v boring.,might go sch yar e salon v boring
0,K..k:)how about your training process?,kkhow training process
0,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,let know detail fri u find co im tom fri mentionned chinese thanks
0,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,happy baby alright take job hope fine send kiss make smile across sea kiss kiss
0,I'm working technical support :)voice process.networking field.,im working technical support voice processnetworking field
0,Sos! Any amount i can get pls.,so amount get pls
0,I'm reaching home in 5 min.,im reaching home min
0,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),excellent thought misundrstud frnd knw u hate bt day wen ull knw truth ull hate urself gn
0,Same to u...,u
0,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",sign maturity start saying big thing actually start understanding small thing nice evening bslvyl
0,"Erm â¦ ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",erm ill pick pm thatll give enough time get park
0,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,many thing antibiotic used chest abdomen gynae infection even bone infection
0,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,love set soul fire spark flame big rawring flame xoxo
0,In meeting da. I will call you,meeting da call
0,Life style garments account no please.,life style garment account please
0,Hey come online! Use msn... We are all there,hey come online use msn
0,Thts god's gift for birds as humans hav some natural gift frm god..,thts god gift bird human hav natural gift frm god
0,"Probably gonna be here for a while, see you later tonight &lt;)",probably gon na see later tonight lt
0,But pls dont play in others life.,pls dont play others life
1,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",goal arsenal henry v liverpool henry score simple shot yard pas bergkamp give arsenal goal margin min
1,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",free msg sorry service ordered could delivered sufficient credit please top receive service
0,Yup no more already... Thanx 4 printing n handing it up.,yup already thanx printing n handing
0,"I dont knw pa, i just drink milk..",dont knw pa drink milk
0,"Evening * v good if somewhat event laden. Will fill you in, don't you worry â¦ Head * ok but throat * wrecked. See you at six then!",evening v good somewhat event laden fill dont worry head ok throat wrecked see six
0,On the road so cant txt,road cant txt
0,Got smaller capacity one? Quite ex...,got smaller capacity one quite ex
0,GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI,gran onlyfound afew day agocusoon honi
0,"yeah, that's what I was thinking",yeah thats thinking
0,Yup ok...,yup ok
0,"Life is nothing wen v get everything. But ""life is everything wen v miss something "". Real value of people wil be realized only in their absence.... gud mrng",life nothing wen v get everything life everything wen v miss something real value people wil realized absence gud mrng
0,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,doc prescribed morphine cause pain med arent enough waiting mom bring med kick fast im gon na try later
0,Lol ... I knew that .... I saw him in the dollar store,lol knew saw dollar store
0,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8,alex know guy sell mids he south tampa dont think could set like
0,"Yeah probably, I still gotta check out with leo",yeah probably still got ta check leo
0,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",put party day week study lightly think need draw custom checkboxes know hardcore
0,Yeah I don't see why not,yeah dont see
0,Just sleeping..and surfing,sleepingand surfing
0,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,eh sorry leh din c ur msg sad already lar watching tv u still office
0,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,maybe fat finger press button doesnt know
0,Nvm it's ok...,nvm ok
0,"Garbage bags, eggs, jam, bread, hannaford wheat chex",garbage bag egg jam bread hannaford wheat chex
0,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",ill always even spirit ill get bb soon trying sure need
0,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",im tired arguing week week want ill
0,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,bishan lar nearer need buy early co buy got ta park car
0,Yup,yup
0,Remember on that day..,remember day
0,If you have belive me. Come to my home.,belive come home
0,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,yar lor keep raining non stop u wan go elsewhere
0,OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,oh fuck juswoke bed boatin dock slept wid year old spinout giv u da gossip lr xxx
1,CDs 4u: Congratulations ur awarded Â£500 of CD gift vouchers or Â£125 gift guaranteed & Freeentry 2 Â£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,cd u congratulation ur awarded cd gift voucher gift guaranteed freeentry wkly draw xt music tncs wwwldewcomwinppmxage
0,Not directly behind... Abt 4 rows behind Ã¼...,directly behind abt row behind
0,Buy one egg for me da..please:),buy one egg daplease
0,K sure am in my relatives home. Sms me de. Pls:-),k sure relative home sm de pls
0,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,actually deleted old websitenow blogging magicalsongsblogspotcom
0,"IÂm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",im cool ta luv vtired cause doin load planning wk got social service inspection nursery take care spk sn x
0,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",guy flash go call call madam take care oh
0,Can you say what happen,say happen
0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah think use gt atm register sure there anyway help let know sure ready
0,Was it something u ate?,something u ate
0,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",height confidence aeronautics professor wer calld amp wer askd sit aeroplane aftr sat wer told dat plane w made student dey hurried plane bt didnt move saidif made studentsthis wont even start datz confidence
1,88800 and 89034 are premium phone services call 08718711108,premium phone service call
0,"Awesome, that gonna be soon or later tonight?",awesome gon na soon later tonight
0,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
0,I asked sen to come chennai and search for job.,asked sen come chennai search job
0,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",many people seems special first sight remain special till last sight maintain till life end shjas
0,Package all your programs well,package program well
0,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",solve case man found murdered ltdecimalgt ltgt afternoon wife called police police questioned everyone wife siri sleeping murder took place cook cooking gardener picking vegetable housemaid went post office child went play neighbour went marriage police arrested murderer immediately who reply reason u r brilliant
0,Normally i use to drink more water daily:),normally use drink water daily
0,Wait 2 min..stand at bus stop,wait minstand bus stop
0,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
0,on hen night. Going with a swing,hen night going swing
0,Fuck cedar key and fuck her (come over anyway tho),fuck cedar key fuck come anyway tho
0,Wat time u finish ur lect today?,wat time u finish ur lect today
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
0,Alex says he's not ok with you not being ok with it,alex say he ok ok
0,Your brother is a genius,brother genius
1,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,dont know u u dont know send chat let find pmsg rcvd hgsuitelandsrowwjhl ldn year
0,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",haha leg neck killing amigo hoping end night burn think could swing like hour
0,Dear where you will be when i reach there,dear reach
1,+123 Congratulations - in this week's competition draw u have won the Â£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,congratulation week competition draw u prize claim call b tcsstop sm ppm
0,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,tell friend plan valentine day lturlgt
0,Detroit. The home of snow. Enjoy it.,detroit home snow enjoy
0,Hi where you. You in home or calicut?,hi home calicut
0,You want to go? ,want go
0,I am not at all happy with what you saying or doing,happy saying
0,I will be outside office take all from there,outside office take
0,Am going to take bath ill place the key in window:-),going take bath ill place key window
0,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",common hearin r u wat r u ur day let ask u something different u smile today gud evng
0,Do you still have the grinder?,still grinder
0,Our Prashanthettan's mother passed away last night. pray for her and family.,prashanthettans mother passed away last night pray family
1,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",spook mob halloween collection logo pic message plus free eerie tone txt card spook zed p per logopic
0,Leave it wif me lar... Ã wan to carry meh so heavy... Is da num 98321561 familiar to Ã¼?,leave wif lar wan carry meh heavy da num familiar
0,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,olol printed forum post guy exact prob fixed gpu replacement hopefully dont ignore
0,"sorry brah, just finished the last of my exams, what up",sorry brah finished last exam
1,"Final Chance! Claim ur Â£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. Â£3.00 Subs 16",final chance claim ur worth discount voucher today text yes savamob member offer mobile c savamob pobox muz sub
0,I wil be there with in  &lt;#&gt;  minutes. Got any space,wil ltgt minute got space
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride early tomorrow morning he crashing place tonight
0,"It's cool, we can last a little while. Getting more any time soon?",cool last little getting time soon
0,You're gonna have to be way more specific than that,youre gon na way specific
0,So u workin overtime nigpun?,u workin overtime nigpun
0,"K give me a sec, breaking a  &lt;#&gt;  at cstore",k give sec breaking ltgt cstore
1,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA,claire havin borin time alone u wan na cum nite chat hope c u luv claire xx callsminmoremobsemspoboxpowa
0,No..jst change tat only..,nojst change tat
0,Sorry * was at the grocers.,sorry grocer
0,Thank u!,thank u
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheer
0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time hop ard ya go free abt muz call u discus liao
0,Wat u doing there?,wat u
0,Sac needs to carry on:),sac need carry
0,Just do what ever is easier for you,ever easier
0,Sorry da thangam.it's my mistake.,sorry da thangamits mistake
0,Then i buy.,buy
0,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,yes replied mail im going management office later plus bank later alsoor wednesday
0,Yeah right! I'll bring my tape measure fri!,yeah right ill bring tape measure fri
0,I am taking you for italian food. How about a pretty dress with no panties? :),taking italian food pretty dress panty
0,We left already we at orchard now.,left already orchard
0,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,r many modelsony ericson also der ltgt luks good bt forgot modl
0,K I'll take care of it,k ill take care
0,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
0,"Probably, want to pick up more?",probably want pick
0,Did u fix the teeth?if not do it asap.ok take care.,u fix teethif asapok take care
0,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),good sleep rhythm person establish rhythm body learn use want know
0,I keep ten rs in my shelf:) buy two egg.,keep ten r shelf buy two egg
0,"I am in tirupur da, once you started from office call me.",tirupur da started office call
1,"Thanks for your ringtone order, ref number R836. Your mobile will be charged Â£4.50. Should your tone not arrive please call customer services on 09065069154",thanks ringtone order ref number r mobile charged tone arrive please call customer service
0,No shoot me. I'm in the docs waiting room. :/,shoot im doc waiting room
0,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,thk lor dunno get ticket wat u
1,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,heard u call rude chat private line cum wan c pic gettin shagged text pix end send stop sam xxx
1,08714712388 between 10am-7pm Cost 10p,ampm cost p
0,"Aight, call me once you're close",aight call youre close
0,Then she dun believe wat?,dun believe wat
0,Wrong phone! This phone! I answer this one but assume the other is people i don't well,wrong phone phone answer one assume people dont well
0,Lol alright i was thinkin that too haha,lol alright thinkin haha
0,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,might come kerala daysso prepared take leave finalise dont plan travel visitneed finish urgent work
0,How's ur paper?,hows ur paper
0,Are you available for soiree on June 3rd?,available soiree june rd
0,Ok lor then we go tog lor...,ok lor go tog lor
0,I.ll post her out l8r. In class,ill post lr class
0,Poor girl can't go one day lmao,poor girl cant go one day lmao
